,,,,,,,,,,,,,,,,,,,,," ","  (%)","  wage","  wage","","","   period(%)","","  (N.T.$)","   period(%)","",,,,,,,,,,,,,
" 說　　明： 工業及服務業統計結果，涵蓋範圍自98年1月起新增「教育服務業（僅含短期補習班及汽車駕駛訓練班）」。ˉ ","","","","","","","  Labor.","","","","","","","","","","","","","",,,,,,,,,,,,"43829","0.32","34598","1.06","177","","-0.78","","168.6","","-1.06","",
,,,,,,," Note：  Both Industry & Services statistics covered Education Industry (only short-term tutorial and driver's training classes are","","","","","","","","","","","","",""," 102年  2013 ","0.79","19047","109","","45664","0.16","","37527","1.01","",,,,,,,,,,,,,
" 附　　註： (1)不含金門縣及連江縣。 ","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"  included) since January 2009.","","","","","","","","","","","","","",,,,,,,,,,,,"45207","3.14","35095","1.44","177.9","","0.51","","169.3","","0.42","",
,,,,,,," Remark：  (1)Series data exclude Kinmen County and Lienchiang County.","","","","","","","","","","","","",""," 103年  2014 ","1.2","19273","115","","47300","3.58","","38208","1.81","","46781","3.48","35581","1.38","175.3","","-1.46","","167","","-1.36","",
,,,,,,,,,,,,,,,,,,,,," 104年  2015 ","-0.31","20008","120","","48490","2.52","","38716","1.33","",,,,,,,,,,,,,
" ","","     -2-","","","","","","","","","","     -3-","","","","","","","","",,,,,,,,,,,,"47258","1.02","36120","1.51","169.5","","-3.31","","161","","-3.59","",
" 105年  2016 ","1.4","20008","126","","48790","0.62","","39238","1.35","",,,,,,,,,,,,,
,,,,,,,,,,,"","","","     -5-","","","","","","","","",
" ","","","    -4-","","","","","","","",
